"variable","value","Complexity","group"
"F:maj",0.791520446653845,"Triad","New"
"Eb:7",0.800984472979951,"Seventh-chord","New"
"A:7",0.803651822446265,"Seventh-chord","New"
"C#:min",0.804714882529976,"Triad","New"
"D:min",0.80564121503552,"Triad","New"
"Bb:7",0.807735675877946,"Seventh-chord","New"
"B:7",0.811421408562957,"Seventh-chord","New"
"G:7",0.832492748160633,"Seventh-chord","New"
"E:7",0.834660217105325,"Seventh-chord","New"
"C:7",0.842253338614333,"Seventh-chord","New"
"G#:min",0.843245422777969,"Triad","New"
"F:min",0.931050984848245,"Triad","New"
"F#:min",0.934457840917705,"Triad","New"
"D:maj",0.937672219722057,"Triad","New"
"Ab:7",0.937944792912732,"Seventh-chord","New"
"F:7",0.938632467780538,"Seventh-chord","New"
"D:7",0.940552477826962,"Seventh-chord","New"
"D#:min",0.941216870570871,"Triad","New"
"Ab:maj",0.944293534016204,"Triad","New"
"A:min",0.944369898684738,"Triad","New"
"A:maj",0.947953148353765,"Triad","New"
"B:min",0.949812944194083,"Triad","New"
"B:maj",0.949845398629839,"Triad","New"
"C:min",0.978499822868899,"Triad","New"
"Db:maj",0.979921173858022,"Triad","New"
"E:maj",0.98069589007749,"Triad","New"
"G:maj",0.980999021315365,"Triad","New"
"Eb:maj",0.982755868554004,"Triad","New"
"E:min",0.984525596004056,"Triad","New"
"C:maj",0.988410367538676,"Triad","New"
"Bb:min",0.988558004036701,"Triad","New"
"G:min",0.989856555555383,"Triad","New"
"Gb:7",0.992655372073968,"Seventh-chord","New"
"Bb:maj",0.996880078982219,"Triad","New"
"Gb:maj",1,"Triad","New"
"Eb:7",0.796866578134069,"","Old"
"F:maj",0.797623175969617,"","Old"
"C#:min",0.814068784566817,"","Old"
"D:min",0.814545607564072,"","Old"
"A:7",0.816887554733722,"","Old"
"B:7",0.821580592786994,"","Old"
"Bb:7",0.823922059508172,"","Old"
"E:7",0.825396212428191,"","Old"
"G:7",0.833397957419224,"","Old"
"G#:min",0.840426318962489,"","Old"
"C:7",0.842191016765534,"","Old"
"F:7",0.935086579173729,"","Old"
"D:7",0.936834176510074,"","Old"
"F:min",0.936927907114344,"","Old"
"D:maj",0.938363672695601,"","Old"
"D#:min",0.940044315757636,"","Old"
"Ab:7",0.944076130926032,"","Old"
"F#:min",0.945635393774922,"","Old"
"Ab:maj",0.945649739790087,"","Old"
"B:min",0.953239974386254,"","Old"
"A:maj",0.95380598431161,"","Old"
"A:min",0.953905621427662,"","Old"
"B:maj",0.960843646576758,"","Old"
"Eb:maj",0.962352143203772,"","Old"
"C:min",0.962703610410121,"","Old"
"E:maj",0.964160182180637,"","Old"
"E:min",0.968584760132622,"","Old"
"Db:maj",0.970862832967654,"","Old"
"Bb:min",0.975497794264069,"","Old"
"G:maj",0.977950845003987,"","Old"
"C:maj",0.98050009130207,"","Old"
"Gb:7",0.98669979280219,"","Old"
"G:min",0.990116620280126,"","Old"
"Bb:maj",0.995321753863971,"","Old"
"Gb:maj",1,"","Old"
